id,date,text,prediction,annotation
1223616203387822080,Sat Feb 01 14:36:51 +0000 2020,#Putin über die wahnsinnige #Flüchtlingspolitik und verrückten Gerichtsurteile in der #EU. #Merkel #Seehofer #Asylkrise #Justiz https://twitter.com/FfFrauki/status/1223596614532640771,2,1
1228593960551100418,Sat Feb 15 08:16:41 +0000 2020,"Es handelt sich nicht um eine #Eurokrise, sondern eine #Bankenkrise welche mittels #Bailout die privaten Schulden auf die Staatskassen übertragen haben. Ursachen: Ökonomisch nicht nachvollziehbare #Maastricht Kriterien und generell die Finanzmarktliberalisierung. https://twitter.com/nulleberg/status/1228231423636566019",2,1
1230647593887260675,Fri Feb 21 00:17:05 +0000 2020,"Ein Beispiel: im Jahr der größten #Flüchtlingswelle war ich Student an der Uni Göttingen. Als ich eines Tages zwischen zwei Vorlesungen mit einem Kaffee in der Sonne saß, sah (und hörte) ich einen Mann mittleren Alters, der in gebrochenem Englisch zwei Studenten um Hilfe bat.",0,2
1231633650183266312,Sun Feb 23 17:35:19 +0000 2020,"@satriani222 @SawsanChebli Wunderschön nenne ich das. Unglaublich was für eine wunderbare offene Gesellschaft wir sind. Wir haben zwar noch sehr viel Arbeit vor uns, jedoch haben wir auch viel schon geschafft. #wirschaffendas #hamburgwaehlt",0,2
1233324265858007041,Fri Feb 28 09:33:13 +0000 2020,5 Fakten zu Erdogans Grenzöffnung -  #niewieder2015 https://youtu.be/MfX8861IFwE via @YouTube,1,2
1233868691726532611,Sat Feb 29 21:36:34 +0000 2020,"Countries of south-eastern europe, do not let the migrants in your country. We will not take them this time. Good luck!

#Greece #Macedonia #Serbia #Bosnia #Croatia #Hungary #Slovenia #Migration #HumanRightsRefugee #NeverAgain2015 #Turkey #Syria #refugee #RefugeesWelcome https://twitter.com/DerSteirische/status/1233868109045518337",0,1
1212590935726538752,Thu Jan 02 04:26:22 +0000 2020,"- Significant differences in immunization coverage exist in urban vs. rural settings.
#VoICE #Inequity

Let’s close this gap and make #VaccinesWork for everyone irrespective of the place or circumstances around where they live. #LeaveNoOneBehind",0,2
1214970262933954562,Wed Jan 08 18:00:58 +0000 2020,"1/2 #Libya 04.01.20 -  Ajdabiya DCIM authorities notified by local citizen conducted investigation &amp; recovered 3 bodies of Egyptian #migrants who subsequently received proper burial on site for logistical reasons [cont] 
#Migrantcrisis #Frontex #Seenotrettung #Seawatch3 #UNHCR",0,2
1217336002445885440,Wed Jan 15 06:41:34 +0000 2020,#AfD fordert Freigabe der #Migrationskosten. #Asylkrise #Migrationskrise https://de.sputniknews.com/deutschland/20200114326335199-afd-fordert-freigabe-der-migrationskosten/ via @de_sputnik,2,1
1222293222006960128,Tue Jan 28 22:59:47 +0000 2020,"Wir sind gegen die #Rundfunkgebühr, da diese unserer Meinung nach den #Wettbewerb verzerrt. Nun lesen wir, dass der #WDR #Qualitätsjournalismus Zeugen zu Falschaussagen verleitet hat zu einem hochbrisanten Fall bei dem ein #Flüchtling ums Leben gekommen ist. Die Sendungen 1/2",1,2
1223159639899955200,Fri Jan 31 08:22:38 +0000 2020,"@mattkeane91 Nicely timed - as somebody once said, today could be a good to bury bad news! Definitely a sign of things to come; lying is a way of life with this bunch of crooks. #EUsolidarity",0,2
1190162462890504192,Fri Nov 01 07:03:37 +0000 2019,"As #Greece grapples with a rising number of #asylumseekers, the country's Parliament voted in favor of a new bill which introduces sweeping changes that streamline and shorten the #asylum process and facilitate deportations / #immigration #refugees
https://www.politico.eu/article/greece-toughen-asylum-rules-as-migrant-arrivals-rise/",0,2
1192466729152192512,Thu Nov 07 15:39:57 +0000 2019,"#Bartsch und #Wagenknecht: #USA haben #Flüchtlingskrise mit ausgelöst - #Positionspapier - War das bisher nicht eine angebliche ""rechte #Verschwörungstheorie"", die Migration als Waffe? https://www.welt.de/politik/deutschland/article146085269/Linke-will-US-Regierung-fuer-Fluechtlinge-zur-Kasse-bitten.html?wtmc=socialmedia.twitter.shared.web",1,2
1193265590510731265,Sat Nov 09 20:34:21 +0000 2019,@richbsys @Vicktor1111 Move to Scotland. Soon to be Independent in the EU. #IndyRef2020 #VoteSNP #GE2019 #RefugeesWelcome,0,2
1196560178046484480,Mon Nov 18 22:45:52 +0000 2019,"ISIS leader who beheaded Imam and had dozens of people killed was now imprisoned as a #refugee residing in #Greece, he traveled with false IDs to Hungary, 
which politicians said again that the borders are safe and well guarded ...
https://www.independent.co.uk/news/world/europe/isis-leader-syria-trial-murder-beheading-imam-hungary-hassan-turkey-a9201446.html",0,1
1198215258239913985,Sat Nov 23 12:22:33 +0000 2019,"Yasemin &amp; her 4 children say GoodBye: the ongoing crackdown on #Gülen supporters forced thousands of teachers, managers, public servants out of their homecountry #Turkey. As a result of the persecutions some 25.000 Turkish #AsylumSeekers asked for EU protection in 2018 @euronews",0,2
1198331687714934785,Sat Nov 23 20:05:12 +0000 2019,"@CityPortland There was some discussion of families being moved from #PortlandME to #Scarborough but the City says that did NOT happen because the families did not want to go there. 

@CityPortland says it will ""follow up"" on that issue Monday. #AsylumSeekers",0,2
1199649377159204865,Wed Nov 27 11:21:14 +0000 2019,"@NordhausenFrank @RND_de Wird es auch Aufgeklärt was sucht denn Akten der Schutzsuchenden Menschen in der Verfolger Staat,?
#asylrecht #asyl #Grundgesetz #Deutschland #Bundesregierung",1,2
