date,id,text,prediction,hashtags
2020-07-17,1284014887887306757,"The EU-funded @SUCCESSinSindh programme focuses on empowering communities to better engage with local governments 

During #COVID19 community organisations supported by SUCCESS began working to protect their communities.

#TeamEurope #EUsolidarity #StrongerTogether #coronavirus",0,"['covid19', 'teameurope', 'eusolidarity', 'strongertogether', 'coronavirus']"
2020-07-17,1284225419944898562,"@tagesschau In der EU läuft es für #Merkel anders wie in Deutschland, in dem die Partei alles abnicken.
Ihre Asylpolitik wurde von der EU auch nicht akzeptiert. #EuGipfel,#Eurobonds",1,"['merkel', 'eugipfel', 'eurobonds']"
2020-07-17,1284221491375149056,"#Merkel und #Macron versuchen, Österreich‘s Kanzler Kurz in die #EU-#Schuldenunion reinzulabern.

#EUSummit #EUCO #Wiederaufbaufonds",2,"['merkel', 'macron', 'eu', 'schuldenunion', 'eusummit', 'euco', 'wiederaufbaufonds']"
2020-07-17,1284157109828046848,"🇪🇺81.000 Europeans calling for #EUsolidarity Now!👬This #EUCO Summit must reinforce the principles on which our Union is founded and allow us to grow stronger out of the #COVID19 crisis.

http://www.facebook.com/groups/EUsolidarityNow/",0,"['eusolidarity', 'euco', 'covid19']"
2020-07-17,1284211056374685698,"To #Spain and #Italy. You may bully us if that makes you feel good. But know this.

1. Free money does not exist.
2. The EU is not a state that can borrow money.
3. We will not be dragged into a #debtunion, ever! 

Have a good night.

#EUCO #eutop",0,"['spain', 'italy', 'debtunion', 'euco', 'eutop']"
2020-07-17,1284133598992322560,"#EU #Coronakrise #Schuldenunion
Ich wüsste zu gerne, welche (€-) Geschenke unsere #Merkel den ""sparsamen Vier"" verspricht, damit sie den kreditlosen Zuschüssen von 500 Mrd.€ zustimmen. Natürlich verteilt sie wieder das Geld deutscher Steuerzahler, darin ist sie geübt.",1,"['eu', 'coronakrise', 'schuldenunion', 'merkel']"
2020-07-17,1284000834095898624,"Heute #EUGipfel Erinnern wir uns, dass #Italien und Co. schon vor #Corona zu hohe Staatsschulden hatten und zugleich deutlich reicheren Privatsektor. https://think-beyondtheobvious.com/stelter-in-den-medien/italien-spanien-und-co-koennten-sich-auch-selbst-helfen-wenn-sie-wollten/ Statt #Transferunion sollte 👇getan werden https://twitter.com/thinkBTO/status/1283415985941295104",2,"['eugipfel', 'italien', 'corona', 'transferunion']"
2020-07-17,1284237771817836544,"@sebastiankurz Sie müssen standhaft bleiben. Die #schuldenunion wäre ein Dammbruch, der ins Verderben führen würde. Der extreme Zentralismus in #Brussels hat nichts mehr mit effizienter Steuerung zu tun.",1,"['schuldenunion', 'brussels']"
2020-07-17,1283995166265794566,Was just reading @AswathDamodaran's latest paper on Country #Risk. Great work. My greatest fear with the way #African finance ministers have embraced bonds is the sovereign #default. Hope we don't get there though #IvoryCoast defaulted on #Eurobonds in 2011.  #CreditRating,2,"['risk', 'african', 'default', 'ivorycoast', 'eurobonds', 'creditrating']"
2020-07-17,1284238873959243776,Sowas mal aus dem Mund der deutschen Kanzlerin zu hören 👇... Werden wir bei #Merkel nie erleben 😐. So geht Europa und Nationalstaat 🇩🇪! Hand in Hand und nicht das links-grüne Takatuka-Projekt der #Schuldenunion (TS) https://twitter.com/sebastiankurz/status/1284230785151762433,1,"['merkel', 'schuldenunion']"
