Date,Solidary,Anti-Solidary,Other,10 most common hashtags
2019-09-01,0,5,5,austerity: 4	exiteu: 4	justdoit: 4	loveeurope: 4	leaveeu: 4	eu: 3	neoliberal: 2	privatisation: 2	germany: 2	behaviour: 2	
2019-09-02,0,4,2,exiteu: 3	justdoit: 3	loveeurope: 3	leaveeu: 3	austerity: 2	eu: 2	brexit: 1	privatisation: 1	choplogic: 1	deumockracy: 1	
2019-09-03,1,1,3,eurobonds: 2	exiteu: 1	justdoit: 1	loveeurope: 1	leaveeu: 1	finance: 1	sovereigndebt: 1	restructuring: 1	africa: 1	stock: 1	
2019-09-04,4,7,9,exiteu: 8	austerity: 7	justdoit: 6	loveeurope: 6	leaveeu: 6	eu: 5	poverty: 3	eusolidarity: 3	deumockracy: 3	tory: 2	
2019-09-05,2,4,7,eu: 4	austerity: 4	exiteu: 4	boris: 3	nodeal: 3	justdoit: 3	leaveeu: 3	eurobonds: 3	brexit: 2	deumockracy: 2	
2019-09-06,2,5,1,exiteu: 4	justdoit: 3	loveeurope: 3	leaveeu: 3	eu: 2	austerity: 2	ff: 1	immigration: 1	climatechange: 1	stock: 1	
2019-09-07,1,8,5,exiteu: 7	justdoit: 7	loveeurope: 7	leaveeu: 7	deumockracy: 5	eu: 4	austerity: 3	eurobonds: 2	neoliberal: 2	privatisation: 2	
2019-09-08,1,2,5,eu: 5	austerity: 5	revokearticle50: 2	peoplesvote: 2	remain: 2	electoralreform: 2	deumockracy: 2	exiteu: 2	justdoit: 2	loveeurope: 2	
2019-09-09,1,4,4,eurobonds: 3	eu: 3	austerity: 3	exiteu: 2	justdoit: 2	loveeurope: 2	leaveeu: 2	brexit: 2	stock: 1	indices: 1	
2019-09-10,1,0,5,austerity: 3	eu: 3	genoa: 2	king: 2	portugal: 1	brexit: 1	greece: 1	lebanon: 1	eurobonds: 1	world: 1	
2019-09-11,0,5,4,eu: 4	austerity: 4	eurobonds: 3	brexit: 3	financial: 1	stock: 1	indices: 1	currencies: 1	uk: 1	schinas: 1	
2019-09-12,2,4,4,eu: 4	austerity: 3	eusolidarity: 2	exiteu: 2	labour: 2	us: 2	stock: 1	indices: 1	eurobonds: 1	currencies: 1	
2019-09-13,0,3,2,eu: 3	boris: 2	austerity: 2	propaganda: 1	tory: 1	ashamed: 1	stock: 1	indices: 1	eurobonds: 1	currencies: 1	
2019-09-14,0,2,2,exiteu: 2	justdoit: 2	loveeurope: 2	leaveeu: 2	eu: 2	defects: 1	britishindependence: 1	austerity: 1	italien: 1	ezb: 1	
2019-09-15,0,3,5,austerity: 6	eu: 6	uk: 2	brexit: 2	tory: 2	remainers: 1	austerityjo: 1	disenfranchised: 1	resist: 1	remain: 1	
2019-09-16,2,2,5,eu: 6	austerity: 5	brexit: 4	eusolidarity: 2	tories: 1	stock: 1	indices: 1	eurobonds: 1	currencies: 1	europa: 1	
2019-09-17,4,7,5,eu: 5	brexit: 5	exiteu: 4	austerity: 4	eusolidarity: 3	bahamasrelief: 3	euro: 2	europa: 2	transferunion: 2	justdoit: 2	
2019-09-18,2,7,5,austerity: 6	eu: 6	brexit: 5	eurobonds: 3	exiteu: 3	eusolidarity: 2	fibdems: 1	tory: 1	referendum: 1	trusted: 1	
2019-09-19,0,0,2,austerity: 1	brexit: 1	eu: 1	prorogation: 1	stock: 1	indices: 1	eurobonds: 1	currencies: 1	
2019-09-20,0,2,2,exiteu: 2	justdoit: 2	loveeurope: 2	leaveeu: 2	stock: 1	indices: 1	eurobonds: 1	currencies: 1	eu: 1	austerity: 1	
2019-09-21,2,2,5,exiteu: 4	justdoit: 2	loveeurope: 2	leaveeu: 2	austerity: 2	tcrn: 2	europe: 1	fiscalsurplus: 1	india: 1	captainkirk: 1	
2019-09-22,1,4,2,exiteu: 3	austerity: 2	justdoit: 2	loveeurope: 2	leaveeu: 2	eusolidarity: 1	eurocrisis: 1	troika: 1	choplogic: 1	eurobonds: 1	
2019-09-23,1,2,12,eurobonds: 6	sukuk: 4	eurokrise: 4	exiteu: 4	deutschland: 3	justdoit: 3	loveeurope: 3	leaveeu: 3	fridaysforfuture: 2	klimahysterie: 2	
2019-09-24,3,3,2,exiteu: 5	justdoit: 4	loveeurope: 4	leaveeu: 4	solidarity: 1	eurocrisis: 1	migrationcrisis: 1	stock: 1	indices: 1	eurobonds: 1	
2019-09-25,2,1,4,eurobonds: 2	brexit: 2	fourthreich: 1	exiteu: 1	justdoit: 1	loveeurope: 1	leaveeu: 1	stock: 1	indices: 1	currencies: 1	
2019-09-26,3,4,4,exiteu: 7	justdoit: 7	loveeurope: 7	leaveeu: 7	austerity: 2	eu: 2	stock: 1	indices: 1	eurobonds: 1	currencies: 1	
2019-09-27,1,3,5,eu: 3	austerity: 3	uk: 2	exiteu: 2	justdoit: 2	loveeurope: 2	leaveeu: 2	brexit: 2	eurobonds: 2	propaganda: 1	
2019-09-28,0,1,5,exiteu: 3	britishindependence: 3	justdoit: 3	loveeurope: 3	leaveeu: 3	austerity: 2	eu: 2	eurokrise: 1	ezb: 1	presseclub: 1	
2019-09-29,4,5,6,exiteu: 4	britishindependence: 4	justdoit: 4	loveeurope: 4	leaveeu: 4	eu: 3	eusolidarity: 2	eurokrise: 2	ecb: 2	transferunion: 2	
2019-09-30,4,4,13,eu: 9	fiscalunion: 7	mariodraghi: 4	lagarde: 4	austerity: 3	exiteu: 3	britishindependence: 3	justdoit: 3	loveeurope: 3	leaveeu: 3	
2019-10-01,1,4,1,exiteu: 3	britishindependence: 3	justdoit: 3	loveeurope: 3	leaveeu: 3	austerity: 2	eu: 2	eurobonds: 1	eurozone: 1	eu37: 1	
2019-10-02,7,0,2,austerity: 4	eu: 3	eusolidarity: 3	eurokrise: 2	brexit: 2	euro: 1	gold: 1	robustinvestieren: 1	ezb: 1	dollar: 1	
2019-10-03,0,2,4,transferunion: 2	austerity: 2	brexitshambles: 2	recession: 1	global: 1	liquidity: 1	squeeze: 1	repo: 1	breakdown: 1	crapcollateral: 1	
2019-10-04,4,1,3,eu: 4	austerity: 3	eusolidarity: 2	eucivpro: 1	turkey: 1	cyprus: 1	nodealbrexit: 1	shameless: 1	liberalismisamentaldisorder: 1	grexit: 1	
2019-10-05,1,1,1,eu: 2	austerity: 1	exiteu: 1	eusolidarity: 1	
2019-10-06,2,1,1,eusolidarity: 2	eu: 2	eurokrise: 1	oenb: 1	parlameter: 1	fact: 1	neoliberalism: 1	uk: 1	us: 1	particraticoligarchs: 1	
2019-10-07,0,0,8,eurobonds: 3	eu: 2	global: 1	banks: 1	crap: 1	collateral: 1	covenantlite: 1	leveragedloans: 1	clos: 1	balancesheet: 1	
2019-10-08,1,2,6,exiteu: 4	britishindependence: 3	eu: 2	austerity: 2	justdoit: 2	loveeurope: 2	leaveeu: 2	tscg: 1	constitution: 1	referendum: 1	
2019-10-09,3,1,1,eu: 4	austerity: 3	brexit: 2	homeless: 2	eusolidarity: 2	sick: 1	poverty: 1	hunger: 1	disability: 1	universalcredit: 1	
2019-10-10,0,2,1,austerity: 2	brexit: 1	neoliberal: 1	eu: 1	deutschland: 1	mehrheit: 1	europa: 1	daswareinmal: 1	pflegenotstand: 1	poverty: 1	
