date,id,text,prediction,hashtags
2020-02-28,1233362821695537153,"Der mit der Kapuze sagt: ich saß für einen Monat im Gefängnis.  Sie haben mich heute freigelassen und ich solle nach Europa gehen.

#Fluechtlinge 
#Tuerkei 
#NATO 
#Syria 
#Syrien 
#AfD 
#CDU https://twitter.com/baymagazin/status/1233361331774001153",1,"['fluechtlinge', 'tuerkei', 'nato', 'syria', 'syrien', 'afd', 'cdu']"
2020-02-28,1233194586132111361,"#Turkey uses #Refugees to push on #EU to be silent as excuse to occupy others country &amp; establish wars
It's important to deliver ""Turkey's losses news"" to Turkish ppl. as push on their gov. to stop #Tension &amp; wars in #MENA
No ppl in world deserve to be killed because of #Politics https://twitter.com/BasedPoland/status/1233186506287833089",0,"['turkey', 'refugees', 'eu', 'tension', 'mena', 'politics']"
2020-02-28,1233495260254425095,#RefugeesWelcome Mal gucken was passiert wenn die ganzen Mrd verpulvert sind.,1,['refugeeswelcome']
2020-02-28,1233320238504083456,"Orbán: „Wir müssen mit Migrantenwellen rechnen, wir müssen mit systematischen Massenangriffen an der ungarischen Grenze rechnen.“
#Fluechtlinge #Tuerkei 
https://www.epochtimes.de/politik/welt/eskalation-in-syrien-nato-haelt-sondersitzung-ab-orban-warnt-vor-migrantenwellen-a3169463.html",2,"['fluechtlinge', 'tuerkei']"
2020-02-28,1233382977910034435,"Es sterben Menschen, aber größte Sorge für den deutschen Wutbürger sind mal wieder die #Flüchtlinge 

#İdlip",1,"['flüchtlinge', 'i̇dlip']"
2020-02-28,1233381642728869888,"Equally, shame on US and Europe for letting Assad and Putin go on in their blood tirade against the people of #Syria. When Obama drew his fake red lines and backed away, Putin became king. We are ALL paying the price. ALL of us. But Syrian refugees the most. #refugeecrisis",1,"['syria', 'refugeecrisis']"
2020-02-28,1233465145843765250,"@tagesschau ""Flüchtlinge an EU-Grenze"" #Flüchtlinge

Da kann man die #FakeNews von 2015 wiederverwerten.",1,"['flüchtlinge', 'fakenews']"
2020-02-28,1233394635206250499,"#Flüchtlinge #Syrien #Türkei #Merkel 
Jetzt ist es wohl amtlich. Deutschland bekommt 2021 seinen 1. #AFD Kanzler.
#Erdogan sei dank.

https://twitter.com/tagesschau/status/1233364487157231617?s=19",1,"['flüchtlinge', 'syrien', 'türkei', 'merkel', 'afd', 'erdogan']"
2020-02-28,1233496884007886849,"An alle die #RefugeesWelcome toll finden und das unterstützen: Dann nehmt doch paar ""Flüchtlinge"" bei euch auf. Mal sehen wie lange ihr das aushalten, wenn sie sich weigern Deutsch zu lernen und/oder nicht arbeiten wollen.",0,['refugeeswelcome']
2020-02-28,1233372703589048322,#refugees consequences of #War stop all WAR  #peace #Libya #Iraq #Afghanistan #Syria #Myanmar #india #Palestine #Yemen WAR ON #ISLAM ☪️WAR ON #Muslims #Ummah unity @BBCWorld @AFP @derspiegel @SkyNews @Reuters @cnni @foxnewsalert @AlArabiya_Eng @AJEnglish https://www.facebook.com/1555184805/posts/10221986315237705/?d=n,2,"['refugees', 'war', 'peace', 'libya', 'iraq', 'afghanistan', 'syria', 'myanmar', 'india', 'palestine', 'yemen', 'islam', 'muslims', 'ummah']"
