Date,Solidary,Anti-Solidary,Other,10 most common hashtags
2019-09-01,423,125,68,refugees: 255	refugeeswelcome: 106	asylumseekers: 79	refugee: 69	auspol: 48	letthemstay: 44	hometobilo: 40	seenotrettung: 40	flüchtlinge: 33	afd: 27	
2019-09-02,567,110,126,refugees: 344	refugee: 113	seenotrettung: 109	refugeeswelcome: 86	asylumseekers: 77	auspol: 66	eleonore: 63	migrants: 40	leavenoonebehind: 34	asylum: 29	
2019-09-03,525,129,123,refugees: 334	refugee: 125	refugeeswelcome: 85	leavenoonebehind: 60	seenotrettung: 56	flüchtlinge: 49	asylumseekers: 47	auspol: 42	wirschaffendas: 24	immigration: 23	
2019-09-04,584,137,112,refugees: 394	refugeeswelcome: 112	rohingya: 99	refugee: 95	flüchtlinge: 75	leavenoonebehind: 54	merkel: 41	seenotrettung: 38	asylumseekers: 31	wirschaffendas: 25	
2019-09-05,600,215,187,refugees: 357	flüchtlinge: 192	refugee: 120	refugeeswelcome: 96	leavenoonebehind: 63	asylumseekers: 60	merkel: 51	fluechtlinge: 47	seenotrettung: 44	auspol: 43	
2019-09-06,555,139,141,refugees: 332	refugee: 116	refugeeswelcome: 112	flüchtlinge: 84	leavenoonebehind: 71	asylumseekers: 63	merkel: 39	seenotrettung: 38	immigration: 33	migration: 30	
2019-09-07,347,102,91,refugees: 220	refugee: 89	refugeeswelcome: 69	flüchtlinge: 49	seenotrettung: 34	asylumseekers: 28	auspol: 26	merkel: 21	immigration: 20	leavenoonebehind: 20	
2019-09-08,318,140,75,refugees: 223	flüchtlinge: 66	refugeeswelcome: 63	refugee: 53	seenotrettung: 36	asylumseekers: 31	wirschaffendas: 30	auspol: 22	migrants: 20	merkel: 19	
2019-09-09,542,118,149,refugees: 364	refugee: 110	refugeeswelcome: 106	leavenoonebehind: 60	flüchtlinge: 60	asylumseekers: 44	seenotrettung: 34	immigration: 29	trump: 26	migration: 25	
2019-09-10,612,93,116,refugees: 383	refugeeswelcome: 122	leavenoonebehind: 107	refugee: 103	sautiug: 39	asylumseekers: 36	libya: 34	flüchtlinge: 33	migrants: 31	seenotrettung: 29	
2019-09-11,548,114,141,refugees: 318	refugee: 110	refugeeswelcome: 107	leavenoonebehind: 72	seenotrettung: 65	flüchtlinge: 51	eu: 27	asylumseekers: 26	rwanda: 24	asylumseeker: 23	
2019-09-12,855,160,196,refugees: 364	seenotrettung: 278	refugeeswelcome: 154	refugee: 107	asylumseekers: 106	leavenoonebehind: 93	flüchtlinge: 60	ekd: 51	asylum: 39	immigration: 39	
2019-09-13,475,102,132,refugees: 159	refugeeswelcome: 115	seenotrettung: 110	refugee: 109	leavenoonebehind: 66	asylumseekers: 56	flüchtlinge: 54	immigration: 19	asylum: 19	ekd: 17	
2019-09-14,327,171,93,refugees: 208	flüchtlinge: 81	refugeeswelcome: 67	seenotrettung: 57	refugee: 53	fluechtlinge: 44	migration: 38	seehofer: 35	immigration: 33	asylumseekers: 31	
2019-09-15,284,116,75,refugees: 185	refugeeswelcome: 67	refugee: 45	seenotrettung: 43	leavenoonebehind: 39	flüchtlinge: 38	immigration: 32	asylumseekers: 27	maga: 21	migrants: 18	
2019-09-16,413,150,124,refugees: 264	refugee: 85	leavenoonebehind: 82	refugeeswelcome: 78	flüchtlinge: 53	asylumseekers: 45	seenotrettung: 42	fluechtlinge: 29	afd: 23	immigration: 22	
