id;date;text;Ying;Daniel;Dan;Tobias;Agreement
1216064580079751168;Sat Jan 11 18:29:23 +0000 2020;At least 12 people have died after a migrant boat sank near the island of Paxos in western #Greece, the Greek Coast Guard said - The New York Times https://www.nytimes.com/2020/01/11/world/europe/greece-migrant-deaths.html #RefugeeCrisis #HumanRights #SavePassage #EUTurkeyDeal;1;4;3;1;?
1174328481708199939;Wed Sep 18 14:25:02 +0000 2019;From our #UKEU #finreg meeting: No politician would dare push #fiscalunion through the front door, hopefully not through back door, #eurobonds imply undemocratic transfer of public funds;3;2;4;4;?
1176526161641213953;Tue Sep 24 15:57:50 +0000 2019;"'The world has forgotten baby Aylan so quick.'' 
-Erdogan 
#UN #NewYork #Refugees #RefugeesWelcome";1;3;1;1;1
1260902329454338051;Thu May 14 11:58:36 +0000 2020;"‼️ From May 11, @BAMF_Dialog has resumed sending notifices to asylum seekers whose applications are rejected, except for those who reside in the quarantined facilities. Hearings and counselling services will resume soon with hygiene and distancing measures
#BAMF #AsylumSeekers";1;3;1;3;?
1245833444476813312;Thu Apr 02 22:00:14 +0000 2020;"Europäischer Gerichtshof
Drei Länder haben in Flüchtlingskrise EU-Recht gebrochen


Polen, Ungarn und Tschechien hatten sich in der #Flüchtlingskrise 2015 geweigert, Asylbewerber aufzunehmen. Damit haben sie gegen EU-Recht verstoßen, urteilt nun der #EuGH


https://www.zdf.de/nachrichten/politik/fluechtlingskrise-eu-recht-100.html";1;4;1;3;?
1193572955911008257;Sun Nov 10 16:55:42 +0000 2019;My Best Book 2019! An affirmation of community, and values I've held dear all my life. My family welcomed a refugee before I was born. She became my favourite auntie. Buy in indep bookshop or https://www.hive.co.uk/Product/Brian-Bilston/Refugees/23511527 Share with children you know, and adults too. #RefugeesWelcome https://twitter.com/JillBennett18/status/1189122325188362240;1;1;1;1;1
1169524319535476736;Thu Sep 05 08:15:01 +0000 2019;#Ukraine pays out 1.1 billion dollars on #Eurobonds, - Natiomal #Bank https://bit.ly/2kvXx4L;4;4;4;4;4
1261091011985620993;Fri May 15 00:28:21 +0000 2020;"@ebonyplusirony @ulfposh @makko73 @welt Da frag ich gerne mit @welt. Wollt ihr noch länger diesen Rassisten @_donalphonso  bei euch Kolumnen schreiben lassen? Wenn ja, dann seid ihr wohl auch ein rassistisches Blatt, welches in den Müllcontainer gehört!


#Rassismus #WeStandTogether #RefugeesWelcome";1;1;1;1;1
1178600081706094593;Mon Sep 30 09:18:51 +0000 2019;1/2 Trust of international financial markets towards #Armenian economy was highlighted in PM Pashinyan's video address on his Facebook page. He celebrates successful placement of $500 million worth of #Eurobonds with low 4.2% yield rate. https://rus.azatutyun.am/a/30188280.html;4;4;4;4;4
1194276820339740672;Tue Nov 12 15:32:37 +0000 2019;Die üblichen Verdächtigen ... #Wirschaffendas https://www.rundblick-unna.de/2019/11/05/raub-und-koerperverletzung-6-jugendliche-festgenommen/;4=>2;2;4;2;2
