id,date,text,Tobias,,Daniel,,Agreement,Comment Alexandra
1169761900889952256,Thu Sep 05 23:59:04 +0000 2019,We just received our first fan letter from a young reader for Ghost's Journey- A #Refugee Story  written by #RobinStevenson,1,,1,,1,
1169244327345840128,Wed Sep 04 13:42:25 +0000 2019,@Jana_L_Mason @Refugees Putting as much discretion in the hands of the person whether they are a #refugee or a US citizen is an intentional conversation the #digital space is having now says @alexisbonnell when speaking about #data privacy &amp; protection at the #AIDFGlobal Summit. @FollowAIDF,1,,1,,1,
1172106996549636096,Thu Sep 12 11:17:39 +0000 2019,"This training come in the right time to strongly support smart and sustainable #climate related decisions and planning @MeteoRwanda @cnru2020  @info_rwfa @REMA_Rwanda  @UNWWAP @RwandaEmergency   

#LeaveNoOneBehind 
#ClimateAction2019 
#Agenda2030 
#CRIDA https://twitter.com/UnescoEast/status/1172055333654712320",4,,4,,4,
1169558858055979008,Thu Sep 05 10:32:15 +0000 2019,"Love how Intl Development orgs are aligning their work with the #SDGs.

#LeaveNoOneBehind https://twitter.com/PactWorld/status/1163467431274328064",1,SDG = Sustainable Development Goals,4,,1,"Would annotate as 1; The rule from the handbook states: 
""1.5.	Hashtags can be to be taken into account as to whether a tweet qualifies as solidary (e.g. using hashtags like ‘refugeeswelcome’)"""
1174639919114985472,Thu Sep 19 11:02:35 +0000 2019,"Weniger #Flüchtlinge? Und dann arbeiten die #Migranten auch noch oder studieren? Da müssten sich ja manche hier eigentlich ein neues #Feindbild suchen. Naja, vielleicht #Greta und die #Klimaschützer. https://www.zeit.de/gesellschaft/zeitgeschehen/2019-09/migration-asyl-asylantraege-oecd-studie-statistik?wt_zmc=sm.ext.zonaudev.twitter.ref.zeitde.share.link.x via @zeitonline",1,,1,,1,
1178188228010106880,Sun Sep 29 06:02:17 +0000 2019,Die @AfD MUSS den #Klimaschutz torpedieren. Mit der #KlimaKatastrophe kommen nämlich wieder #Flüchtlinge aus Überschwemmungs- und Dürregebieten gegen die an #hetzen kann. https://twitter.com/ntvde/status/1178181371178565633,1,,1,,1,
1171685167049641984,Wed Sep 11 07:21:27 +0000 2019,"@DawuhdNabil Warum das Geld in einen #Flüchtling investieren?🤔
Wenn das #SUVVerbot kommt, kaufe ich mir von dem gesparten Geld Goldstücke.☝🏻😎
https://twitter.com/DawuhdNabil/status/1171405081838833667?s=19",2,,2,,2,
1171528068214611969,Tue Sep 10 20:57:12 +0000 2019,"Genau und deswegen sollten alle #Autobesitzer die bei #Taz arbeiten, sofort ihre Autos verkaufen bzw. gekündigt werden. Klar, aber wenn ein #Flüchtling ein Verbrechen begeht, ist die die #Migration trotzdem positiv. #Doppeldenk in Reinkultur https://twitter.com/tazgezwitscher/status/1171372752332369920",2,,2,,2,
1177088216257765376,Thu Sep 26 05:11:14 +0000 2019,"Claus-Peter Reisch rettete über 100 Menschen vor dem Ertrinken.

Jetzt drohen ihm 300.000€  Geldstrafe und 20 Jahre Haft.

Es ist leicht Seenotrettung zu bestrafen - es ist schwer sie so in die Tat umzusetzen. Respekt an alle RetterInnen🧡

#Seenotrettung ist kein Verbrechen https://twitter.com/ClausReisch/status/1176883813017882627",1,,1,,1,
1169889180328939520,Fri Sep 06 08:24:50 +0000 2019,"#Bremen setzt Zeichen gegen #Seenotrettung und #refugeeswelcome! 

Wer dafür verantwortlich ist? @DieLinkeBremen, @GrueneBremen und @SPDFraktionHB. 

Und wer droht wieder Jugendliche und junge Erwachsene zu vermöbeln? Richtig, @BremenPolizei.

#BreakingBordersFestival #kaltland",3,,3,,3,
1171996858039832578,Thu Sep 12 04:00:00 +0000 2019,"#Trump’s policy is meant to deny asylum to anyone who passes through another country on the way to the U.S. without seeking protection there. 
#asylumSeeker
http://bit.ly/2kHY7fF",4,,4,,4,
1171042973582266375,Mon Sep 09 12:49:36 +0000 2019,Our Podcast talking to Aimee from the Ivory Coast. A person with refugee status. https://lttr.ai/HkNB #SCOTLAND #Asylumseeker #Refugees,1,,1,,1,
1172861097810042880,Sat Sep 14 13:14:11 +0000 2019,"When Africa came to #Barcelona - Barcelona became #Africa.

#BanIslam #Reconquista #España #Spain #VOX  #Espana #Islam #crime #remigration #RemigrationNOW https://twitter.com/BasedPoland/status/1172859899526754304",2,,2,,2,
1170986433760419840,Mon Sep 09 09:04:56 +0000 2019,"Greek PM urges talks, rejects Turkish islamist ""refugee"" threats 

#Muslims #islamisation 
#theGreatReplacement #GrandRemplacement
#PushBack #remigration
#FortressEUrope NOW! #EUrope4Europeans

 https://www.euractiv.com/section/justice-home-affairs/news/greek-pm-urges-talks-rejects-turkish-refugee-threats/",2,,2,,2,
1169582479143034880,Thu Sep 05 12:06:07 +0000 2019,Notenbanken drücken Schulden-Ballon unter Wasser.Aber Ballon wird größer und drückt mehr an die Oberfläche. Irgendwann kann ihn die Notenbank nicht mehr halten und er schießt mit aller Macht nach oben. #deflation #eurokrise #eiszeit https://www.manager-magazin.de/finanzen/artikel/notenbanksozialismus-ezb-geldpolitik-und-minuszinsen-und-die-folgen-a-1285341.html /,4,,4,,4,
1168064601172467714,Sun Sep 01 07:34:37 +0000 2019,"@bernd471 @welt Und gleichzeitig machen führende Politiker aus der Zeit der #Krise #Merkel dafür verantwortlich, dass die #Eurokrise, #Bankenkrise und #Schuldenkrise in Europa noch immer nicht ausgestanden ist, das Sie durch ihre Nähe zur deutschen Bank die Rettung wie in den USA verhindert hat.",3,,3,,3,
1175417979800100866,Sat Sep 21 14:34:19 +0000 2019,"Ireland, UK, And any freedom loving nation or territory. Exit the EU and join the USA under the US Constitution as a new Free World Federation. The Time for The Federation is now. Exit EU join the USA. #ExitEU https://twitter.com/MagicalEurope/status/1175409399017299968",3,,3,,3,
1171098953884012545,Mon Sep 09 16:32:03 +0000 2019,"@guyverhofstadt There will be no nomination for the corrupt eu commission from the UK.

#DEUmockracy
#ExitEU
#JustDoIt
#LoveEurope and #Leaveeu",2,,2,,2,
1176763820271984640,Wed Sep 25 07:42:12 +0000 2019,"Na aber Hauptsache Deutschland ist schön bunt oder? 
#Oberhausen #refugeesNOTwelcome #remigration 

https://jungefreiheit.de/kultur/gesellschaft/2019/kriminelle-zuwanderer-libanesen-fuehren-statistik-an/",2,,2,,2,
1171049134926848008,Mon Sep 09 13:14:05 +0000 2019,"Exclusive — Michelle Malkin: 60 Terrifying Reasons Trump Is Right to Reduce Refugees
#RefugeesNOTwelcome
 http://bit.ly/316NIud via @BreitbartNews",2,,2,,2,
1177425112108171264,Fri Sep 27 03:29:56 +0000 2019,You might think #impeachment was the only news today. It wasn't. Donald Trump drastically slashed the number of refugees who can enter the United States. It's white supremacy in action. We can't allow this to stand. #StandWithRefugees https://twitter.com/cws_global/status/1177410056507314176?s=21,1,or 4 if we dont want us politics,1,,1,
1168977359640416256,Tue Sep 03 20:01:35 +0000 2019,"The Refugee Highway Partnership Roundtable brings together a network of Christians, churches, and organizations who have found common cause in helping refugees in need. Includes 3 days of exhibits and talks. Details here! https://bit.ly/2LfZbkg #newcomers #standwithrefugees",1,,1,,1,
1170662475055927297,Sun Sep 08 11:37:38 +0000 2019,"Neue #Flüchtlingswelle? #Kroatien holt 1.800 Polizisten zur #Grenzsicherung aus dem Ruhestand
https://www.anti-spiegel.ru/2019/neue-fluechtlingswelle-kroatien-holt-1-800-polizisten-zur-grenzsicherung-aus-dem-ruhestand/",2,,2,,2,
1178013495222263808,Sat Sep 28 18:27:58 +0000 2019,30 Jahre #Flüchtlingswelle. https://twitter.com/tagesschau/status/1177971799247720456,4,,4,,4,
1176011764741410816,Mon Sep 23 05:53:48 +0000 2019,"""More important than ever that we come together and strive for common solutions to global challenges.""

There is an ongoing genocide in #Syria.
The #UN is biased towards the regime.
Syrians ask you:
""If you are going to allow the killing on us, please #OPENTHEBORDERS to #Europe."" https://twitter.com/AnnLinde/status/1175856400704114688",1,,1,,1,
1176011893120655361,Mon Sep 23 05:54:19 +0000 2019,"@AnnLinde @UN ""More important than ever that we come together and strive for common solutions to global challenges.""

There is an ongoing genocide in #Syria.
The #UN is biased towards the regime.
Syrians ask you:
""If you are going to allow the killing on us, please #OPENTHEBORDERS to #Europe.""",1,,1,,1,
1173517528817176576,Mon Sep 16 08:42:36 +0000 2019,"@christianhujer @paul_schreyer @erlesen Klar. Weil #EU Zerstörer der Idee #Europa ist, mit #Austerität, #Demokratie-Vernichtung, #Faschismus ggü den Südländern und deren Menschen, #nato-Verherrlichung, #Russland-Feindschaft, die auch zu Europa gehören, ... ergänze selber",2,,3,,3,"Difficult, I'd say it's ambivalent as I can't tell whether the author is solidary or anti-solidary. I think the author calls out the shortcomings of the EU, but doesn't take a clear stance towards solidarity"
1172049412027273216,Thu Sep 12 07:28:50 +0000 2019,"@galottom @the99100 @feldenfrizz @neus533 @PeterSchlusche Können wir v Griechenland lernen. Die mussten + haben solidar. substaatl. System ohne Geld aufgebaut, nachdem sie v d #EU mit d Diktatur / d Krieg d faschistischen #Austerität geschlagen worden waren. Ärzte reduzierten Arbeit + schaffen in priv.-öff. kostenfreier Versorgung uvm",2,,3,"depends on whether what was done to greece is seen as positive or negative, need context",3,"Probably one of those ""if life gives you lemons, make lemonade"" cases; Only here the EU gives you a dictatorship and austerity, so you build a functioning solidaric system (??). To me there is both visible, solidary and anti-solidary statements, so I'd say 3"
1169626314493612039,Thu Sep 05 15:00:18 +0000 2019,"@drumheadberlin @BILD Die ungarische Antwort auf die @ZDF TV-Politsoap über die #Asylkrise und #Merkel. Bitte verbreiten.

https://twitter.com/AF_Will/status/1169609169965596675?s=20",3,,3,,3,
1174188896382595073,Wed Sep 18 05:10:22 +0000 2019,"Och wir nehmen alle ,gibt ja keine #Obergrenze,damit #Deutschland bald ein #Shithole wird. #UNO: #Migrantenanzahl weltweit auf 272 Millionen #Migranten gestiegen. #Bundesregierung #Merkel #Seehofer #Asylkrise #LtwThüringen  https://www.epochtimes.de/politik/welt/uno-weltweit-gibt-es-272-millionen-migranten-a3005223.html?tweet=1 via @China_Welt_News",2,,2,,2,
1174918496775327751,Fri Sep 20 05:29:33 +0000 2019,"Ordnungsgemäße #Asylverfahren

https://www.sueddeutsche.de/politik/bamf-fluechtlinge-asyl-betrug-1.4606487",2,,2,,2,
1177189778359488512,Thu Sep 26 11:54:48 +0000 2019,"Anhörung hat gezeigt, dass sich die #Asylverfahren durch die Zusammenführung deutlich beschleunigen. Hinweise auf Verbesserungsbedarf in einzelnen ANKER-Einrichtungen gehen wir natürlich nach, so @GuttenbergerMdL nach der heutigen Expertenanhörung im #ltby. #Asyl #Bayern #CSU",4,,4,,4,
