id,date,text,Daniel,,Tobias,,Agreement
1229742114554220544,Tue Feb 18 12:19:02 +0000 2020,"Showing some my #photograph work in group #exhibition, Uprooted, at Park Gallery, Callendar House, #Falkirk, curated by Euan Gray, it focuses on the #refugee #camps at #Calais. It runs from 1st Feb to 17th May 2020. 
https://www.falkirkcommunitytrust.org/whats-on/uprooted/",1,,1,,1
1190146303730339840,Fri Nov 01 05:59:25 +0000 2019,"@CrystalAsige @MikeSonko @SakajaJohnson @EstherPassaris @TimothyWanyonyi @NMFincluded @MoraaSylvia @ngumimeetsworld @navi_ke @Jonahmngola IT'S HARD TO NAVIGATE OUR STREETS!

The streets are overly crowded with sign boards, hawkers and other obstructions making it hard for Persons with Disabilities (PWD) to move around with ease on their own. 

#MapAbility #AccessibilityForAll #AbilityProgram #LeaveNoOneBehind",1,,1,,1
1172486662829555712,Fri Sep 13 12:26:18 +0000 2019,"#Deutschland soll jeden vierten geretteten #Flüchtling aus dem Mittelmeer aufnehmen? Geht’s noch? Manche in #Partei &amp; #Regierung wollen es einfach nicht verstehen. Wir müssen jedes Menschenleben retten, aber aus der Rettung darf kein Bleiberecht werden. ⁦ https://www.focus.de/politik/ausland/kurz-vor-eu-treffen-in-malta-offenbar-einigung-mit-italien-jeder-vierte-mittelmeerfluechtling-soll-nach-deutschland_id_11138734.html",2,,2,,2
1171448993190039552,Tue Sep 10 15:42:59 +0000 2019,"""Ocean Viking"": 34 Menschen von Segelboot gerettet https://www.tagesschau.de/ausland/ocean-viking-119.html #Seenotrettung #Mittelmeer",4,,4,,4
1196630209497378826,Tue Nov 19 03:24:08 +0000 2019,"Yet another atrocious safe third country agreement, this time signed w/ Guatemala. Basically, it means almost any #AsylumSeeker who enters the US w/out a visa can be sent by the US govt to Guatemala in order to first seek protection there. It’s an absurd &amp; inhumane agreement: 1/ https://twitter.com/Haleaziz/status/1196540739892596736",1,,1,,1
1202030826726285317,Wed Dec 04 01:04:16 +0000 2019,"Why is this not an #invasion? 
Even the heavily guarded borders of Hungary are not 100% safe for #IllegalAliens - #immigrants ... 
#remigration #endOfEurope https://twitter.com/FDW_VB/status/1201767103667286016",2,,2,,2
1200799657129119744,Sat Nov 30 15:32:02 +0000 2019,"@SocialM85897394 Simple solution is to have @jeremycorbyn on 24 hour standby to be a first responder to any terrorist or hostage situation.
Let him talk his way out of that.

#ExitEU #BritishIndependence

#LoveEurope and #Leaveeu",4,,4,,4
1196791998520406016,Tue Nov 19 14:07:02 +0000 2019,"@silviamartin #SomaliMuslim Immigrants Stealing MILLIONS in Welfare from #Minnesota #RefugeesNOTwelcome
#DeportThemALL
https://canadafreepress.com/article/somali-muslim-immigrants-stealing-millions-in-welfare-from-minnesota",2,,2,,2
1208225074387570688,Sat Dec 21 03:18:00 +0000 2019,"For-profit prisons reap business benefit from Trump's immigration stance
https://www.pbs.org/newshour/show/for-profit-prisons-reap-business-benefit-from-trumps-immigration-stance

#LatinAmerica #CentralAmerica #forprofitprison #forprofitprisons #ChooseWelcome #RadicalWelcome #RadicalHospitality #imagebearers #dojustice #WithRefugees #StandWithRefugees",1,,1,"1, cause of the hashtags",1
1233477077715816448,Fri Feb 28 19:40:26 +0000 2020,"@amnesty 'The #EU Commission must also urgently coordinate any support that might be required to #Greece and #Bulgaria to ensure asylum-seekers have access to adequate reception and asylum procedures'

#SafePassage
#OPENTHEBORDERS
#SpeakUpForIdlib
#Syria",1,,1,,1
1211543292669771781,Mon Dec 30 07:03:25 +0000 2019,"Tok,tok, jemand zuhaus McFly ähhh #Merkel? ""Der Selbstmord Europas"": Bestseller-Autor Douglas Murray im Interview (DE). #Asylkrise #Flüchtlingskrise #Bundesregierung #WDR #Staatsfunk #UmweltsauOma #Messerattacken #Nazisau https://youtu.be/LvnAMCKF9h8 via @YouTube",2,,2,,2
1173621517755850753,Mon Sep 16 15:35:49 +0000 2019,I had a chance to have a quick chat with @tconnellyRTE when leaving the #GAC earlier. #Brexit #EUSolidarity https://twitter.com/EUCouncilTVNews/status/1173609151118884864,4,,4,,4
1195046382752673794,Thu Nov 14 18:30:35 +0000 2019,"@maybritillner @ZDF @DoroBaer @cem_oezdemir @igorpianist @saschalobo @drumheadberlin @vieuxrenard @ZDFheute #Extremismus Lösungsorientierte Therapie: 
Lösung der #Migrationskrise &gt; http://goo.gl/qtkTvz &lt; #EU
#Flüchtlinge in der Ägäis und in Nordafrika ansiedeln ...
Ohne Politiker-Bashing und Ausländerhetze.
Schaffen wir das?
#Demokratie #Meinungsfreiheit #Pressefreiheit #Illner",3,,3,,3
1206595399047417857,Mon Dec 16 15:22:15 +0000 2019,"#Bankenrettung 7.0 #EU #Euro #EZB #Transferunion #Schuldenunion #Target2 #Banken #vdL #Merkel #CDU #CSU #AfD #SPD #Futschi

Am Freitag hatte die Bank von #Italien die Volksbank in der Region Apulien unter staatliche Aufsicht gestellt.

https://www.focus.de/finanzen/banken/kranke-bilanzen-und-milliardenschulden-70-000-sparer-vor-totalverlust-italien-will-volksbank-mit-900-millionen-euro-retten_id_11462954.html",4,,4,,4
1190917842503376896,Sun Nov 03 09:05:14 +0000 2019,"Der Irrsinn eines pervertierten Asylrechts in voller Pracht
Die Regierund schützen jeden, nur nicht die eigene Bevölkerung
#noasyl
Deutschland versetzte Länder wegen Miri in Alarmbereitschaft
https://www.welt.de/politik/deutschland/article202879028/Bremer-Clanchef-Deutschland-versetzte-Laender-wegen-Miri-in-Alarmbereitschaft.html

--
Empfohlen von WELT News für Android
https://play.google.com/store/apps/details?id=de.cellular.n24hybrid",2,,2,,2
1233324265858007041,Fri Feb 28 09:33:13 +0000 2020,5 Fakten zu Erdogans Grenzöffnung -  #niewieder2015 https://youtu.be/MfX8861IFwE via @YouTube,3,strong tendency towards 2 because of the hashtag but need more context,3,"I would guess 2, but need more info for that.",3
1185273735449923584,Fri Oct 18 19:17:34 +0000 2019,No Gender Equality Globally Without Women's Empowerment in Humanitarian Settings https://www.womensrefugeecommission.org/blog/3660-no-gender-equality-globally-without-women-s-empowerment-in-humanitarian-settings  #immigration #refugees #rightofasylum,1,,1,,1
1251758161087913985,Sun Apr 19 06:22:56 +0000 2020,@ZDFheute Und ich fordere die Umsiedelung von #SPD und #Grünen ! #RefugeesNOTwelcome #GoHome,2,,2,,2
1242824072393883652,Wed Mar 25 14:42:04 +0000 2020,"@TspCheckpoint @SawsanChebli @Tagesspiegel Welch eine Plage, welch ein Schrecken der Nacht !  #COVID2019 #niewiedersozialismus #niewieder2015",2,,2,,2
1234498175345528833,Mon Mar 02 15:17:55 +0000 2020,"What’s happening to refugees in Greece and Idlib is absolutely heartbreaking 💔💔!! 

We are witnessing dehumanising of millions of men, women and children ! 

#refugee #Refugees #Idlib",1,,1,,1
1253994613200883713,Sat Apr 25 10:29:48 +0000 2020,"#Rassismus ist keine „Meinung“ und tritt häufig sehr versteckt in der Alltagssprache auf.
Darum #NazisRaus aus den Köpfen.
#LeaveNoOneBehind und Lager wie  #Moria evakuieren.",1,,1,,1
1240298965528006656,Wed Mar 18 15:28:11 +0000 2020,@DawnWestcott @Paul66153553 EU is as corrupt as The UN! #ExitEU #DissolveUN #CrushGlobalism,2,,2,,2
1236990400344309760,Mon Mar 09 12:21:08 +0000 2020,"Jetzt habe ich das erste mal Angst 
#coronavirus #Asylkrise #Eurokrise 

„Die Bürger können darauf vertrauen, dass die gesamte Bundesregierung mit der Bundeskanzlerin an der Spitze alles tut, um die Ausbreitung dieses Virus einzudämmen“, sagte Regierungssprecher Steffen Seibert",4,,2,,?
1265350605192790018,Tue May 26 18:34:28 +0000 2020,"@FDPKarlsruhe und @CDUKarlsruhe reagieren mal wieder wütend, wenn man eine Patenschaft für ein Rettungsschiff beantragt. #Seenotrettung #Karlsruhe",1,,1,,1
1237744940635078657,Wed Mar 11 14:19:24 +0000 2020,#Ungarns #Staatssekretär über #Migrationskrise: #EU ist hilflos und unentschlossen https://www.epochtimes.de/politik/europa/ungarns-staatssekretaer-ueber-migrationskrise-eu-ist-hilflos-und-unentschlossen-a3181078.html?tweet=1 via @China_Welt_News,4,,4,,4
1236740896869277700,Sun Mar 08 19:49:42 +0000 2020,"#Solidarity with @ohflesvos!
 
#Greece #refugees #RefugeesWelcome #NoNazis #opentheborders #Lesvos #Evros https://twitter.com/panayiotab/status/1236739980061544449",1,,1,,1
1261572663409020928,Sat May 16 08:22:16 +0000 2020,"@NerlichMichael @georgrestle Sorry, wer beklagt hat, dass 14/15 Menschen dabei waren, die weder einen Asylgrund hatten, noch #Flüchtling oder subsidiär schutzberechtigt waren, hatte schlicht Recht, stand aber dennoch in der rechten Ecke. Diese Schematisierung wiederholt sich. #corona #COVID19",2,,2,,2
1267046249213104128,Sun May 31 10:52:21 +0000 2020,"#Remigration aus #SaudiArabien nach #Somalia funktioniert, warum nicht aus #Deutschland? https://twitter.com/radiogarowe/status/1267045546944069632",2,,2,,2
1236684278337077248,Sun Mar 08 16:04:43 +0000 2020,"@SeebrueckeMD @SEENOTRETTUNG PLEASE SIGN, SHARE http://chng.it/YB7gdhRpxd
OPEN LETTER sent to Members of EU Parliament to evacuate refugee women*, children from #Lesvos to EU Member States NOW! #IWD2020 #SGBV #HumanityFirst #StandwithRefugees #Lesbos #MyEuropeHelps #safety4womenrefugees #safety4refugeechildren",1,,1,,1
1245006113667497985,Tue Mar 31 15:12:43 +0000 2020,"First #coronavirus case in #Greek migrant camps as #asylumseeker tests positive after giving birth 
#CoronavirusOutbreak
https://trib.al/xSkyLsZ",4,,1,,?
1265213624454459392,Tue May 26 09:30:09 +0000 2020,"#EUsolidarity with #covid19: watch tonight 21:50 CET on @Euronews the new episode of #SmartRegions
EU #cohesionpolicy project ""The Good Support Program""🇵🇱 is revealing to be extremely useful at time of social distancing.
#cohesionpolicy
@RegioPoland https://eu.smh.re/J_e",4,,4,,4
1236334033338077184,Sat Mar 07 16:52:58 +0000 2020,"@Jeky Dann werden endlich die Fronten geklärt und wir sind die leidige  Diskussion um Zuwanderung und Asyl los.
Die einzige Lösung steht dann vor der Tür;
#noasyl",2,,2,,2
1265935264301617152,Thu May 28 09:17:41 +0000 2020,"Friede den Hütten, Krieg den Glaspalästen:

#EUmussweg

#Euro
#SchuldenUnion
#ExitNow
#FeudalsystemEU",2,,2,,2
1262284859218657281,Mon May 18 07:32:17 +0000 2020,"We are so grateful to receive this donation from  @TOTChk
Thank you!
#refugees #asylumseekers #hongkong #coronavirushk #hongkongcharity #charityhk #hk #refugeerights #rightsforall #unhcr #refugeeswelcome #rightofasylum #dignity #socialjustice #refugeeunion #ngo #refugeesupport",1,,1,,1
