id,date,text,Daniel,,Tobias,,Agreement
1205185864239919110,Thu Dec 12 18:01:15 +0000 2019,"Die Milliarden&amp;Abermilliarden die unsere Regierung in den letzten Jahren für linksgrüne Pojekte wie #Flüchtlinge, illegale #Migration u jetzt das #Klimapaket verschwenden, hätte man alle soz Probleme gg die die letzten 60J gekämpft wurde beseitigen können.
https://focus.de/11450520",2,,2,,2
1210495898733731840,Fri Dec 27 09:41:26 +0000 2019,"100.000de Messermänner ins Land schleusen und dann Messerverbotszonen einführen wollen! 
#Merkel #SPD #CDU #CSU #Flüchtlinge #Idioten https://twitter.com/ZhangDanhong/status/1210489941190426624",2,,2,,2
1218018634913779712,Fri Jan 17 03:54:06 +0000 2020,Tausend Flüchtlinge durchbrechen Grenze zu Guatemala http://www.tagesschau.de/ausland/fluechtlinge-honduras-guatemala-101.html #Flüchtlinge #Guatemala #Honduras,4,,4,not about the EU and also only informative,4
1214444243609104385,Tue Jan 07 07:10:45 +0000 2020,"@focusonline
Warum machen Sie Politik anstatt Fakten zu schreiben?
Die Headline sagt die Zahl der Flüchtlinge sei gesunken, im nächsten Satz schreiben Sie aber die Zahl über die Ägäis sei gestiegen. Summiert man die Zahlen kamen also insg MEHR #Flüchtlinge
https://focus.de/11257353",3,,3,"I would guess 2, but can also be just to point to an error at focus.de",3
1225797636567027714,Fri Feb 07 15:05:05 +0000 2020,"#Leupoldsgrün: Drei an der A9 kontrollierte georgische #Flüchtlinge halten sich zum wiederholten Male außerhalb ihres zugewiesenen Aufenthaltsortes auf - Fahrer steht außerdem unter Drogen und muss deshalb den Citroen für mindestens 24 Std. stehen lassen
https://www.polizei.bayern.de/oberfranken/news/presse/aktuell/index.html/309461",2,looks like bad publicity against refugees but could also be 4 if seen as news,4,,?
1174996066443431941,Fri Sep 20 10:37:47 +0000 2019,"@PompeyTim69 @13thBlueKnight @DJack_Journo @PartyReferendum @jeremycorbyn With #EU forcing #austerity on UK as well as many other member states with excessive debt/GDP ratios, #LibLabCon fell over each other in GE2010 to offer the most austerity, rather than admit who demanded it.
Debt was bound to rise for many years, until huge #deficit eliminated.",4,,4,,4
1216989294444892160,Tue Jan 14 07:43:53 +0000 2020,GRACIE FIELDS AS MISS MARPLE 1956 https://rogerschris51.wordpress.com/2016/10/22/gracie-fields-as-miss-marple-1956/ via @wordpressdotcom#Trains #Hollywood #Theatre #The Mouse Trap #Jeesica Tandy #Jessica Martin #Sir Roger Moore #Bond #British #Money #Austerity #PS4 #Megan And Harry #the Royals #Celebs #EU,4,,4,,4
1222860837385330688,Thu Jan 30 12:35:17 +0000 2020,"#Austerity - an #EU policy - has killed 100,000+ in the #UK alone. Politicians arrested for sedition in #Catalonia, #IMF debt crippling #Greece, #Portugal and #Italy. #France is burning to the ground. Poverty increasing.

But sure, it “worked”. https://twitter.com/carolecadwalla/status/1222613670556880897",1,,1,,1
1205262657017778176,Thu Dec 12 23:06:24 +0000 2019,This!!! Hitler was democratically elected. This is a lesson for #Europe : #germany #deustchland : Or you stop the #austerity right now and start spending or be ready for #nazis again. All over the continent. #ge2019 #generalelection https://twitter.com/TheJonesPR/status/1205260690128330752,1,,3,really not sure here,?
1179452379185500162,Wed Oct 02 17:45:35 +0000 2019,"@BorisJohnson Your party has had 9 years to take care of this country.

Instead it implemented #austerity and blamed the #EU for the result.

#Brexit #StopBrexit",1,,1,,1
